# GERADO: go test ./pkg/presentation/http/handlers/ -run TestRespondJSONLedger -update-ledger
# ficheiro	funcao	expressao_serializada	classificacao	vezes
decode.go	decodeRequest	nil	nil	1
handler_blocklist.go	*GetBlocklistHandler.ServeHTTP	nil	nil	4
handler_chat_history.go	*GetChatHistoryHandler.ServeHTTP	nil	nil	4
handler_chat_history.go	*GetChatHistoryHandler.ServeHTTP	result.Index	pendente	1
handler_chat_history.go	*GetChatHistoryHandler.ServeHTTP	result.Messages	pendente	1
handler_community.go	*CommunityLinkGroupHandler.ServeHTTP	map[string]string{…}	pendente	1
handler_community.go	*CommunityLinkGroupHandler.ServeHTTP	nil	nil	3
handler_community.go	*CommunityUnlinkGroupHandler.ServeHTTP	map[string]string{…}	pendente	1
handler_community.go	*CommunityUnlinkGroupHandler.ServeHTTP	nil	nil	3
handler_community.go	*GetCommunityParticipantsHandler.ServeHTTP	nil	nil	3
handler_community.go	*GetCommunityParticipantsHandler.ServeHTTP	rsp	pendente	1
handler_community.go	*GetCommunitySubGroupsHandler.ServeHTTP	nil	nil	3
handler_community.go	*GetCommunitySubGroupsHandler.ServeHTTP	rsp	pendente	1
handler_contact.go	*GetAvatarHandler.ServeHTTP	nil	nil	4
handler_contact.go	*GetAvatarHandler.ServeHTTP	rsp	pendente	1
handler_contact.go	*GetContactsHandler.ServeHTTP	nil	nil	1
handler_contact.go	*GetContactsHandler.ServeHTTP	rsp	pendente	1
handler_contact.go	*GetContactsLastActivityHandler.ServeHTTP	nil	nil	1
handler_contact.go	*GetContactsLastActivityHandler.ServeHTTP	rsp	pendente	1
handler_contact.go	*GetUserInfoHandler.ServeHTTP	nil	nil	2
handler_contact.go	*GetUserInfoHandler.ServeHTTP	rsp	pendente	1
handler_disappearing.go	*SetDefaultDisappearingTimerHandler.ServeHTTP	map[string]string{…}	pendente	1
handler_disappearing.go	*SetDefaultDisappearingTimerHandler.ServeHTTP	nil	nil	3
